Period,Accuracy
14,0.5487077534791253
10,0.5457256461232605
3,0.5447316103379721
29,0.5432835820895522
24,0.5412935323383085
16,0.5412935323383085
8,0.5383084577114428
15,0.5337972166998012
9,0.5313432835820896
21,0.5308151093439364
11,0.5308151093439364
25,0.5308151093439364
28,0.5303482587064676
31,0.5298210735586482
22,0.5298210735586482
7,0.5298210735586482
38,0.5288270377733598
27,0.5288270377733598
30,0.5278330019880716
33,0.5248508946322068
19,0.5208747514910537
32,0.5198807157057654
34,0.5188866799204771
17,0.5178926441351889
20,0.5168986083499006
12,0.5168986083499006
5,0.5159362549800797
26,0.5159045725646123
18,0.5144278606965174
39,0.5139165009940357
6,0.5139165009940357
4,0.5139165009940357
35,0.510934393638171
37,0.5089463220675944
40,0.5089463220675944
13,0.5019880715705766
36,0.49850746268656715
23,0.49651741293532337
